"STATE_ABBR","COUNTY","FIPS_CODE","STATE"
"AL","Autauga","01001","Alabama"
"AL","Baldwin","01003","Alabama"
"AL","Barbour","01005","Alabama"
"AL","Bibb","01007","Alabama"
"AL","Blount","01009","Alabama"
"AL","Bullock","01011","Alabama"
"AL","Butler","01013","Alabama"
"AL","Calhoun","01015","Alabama"
"AL","Chambers","01017","Alabama"
"AL","Cherokee","01019","Alabama"
"AL","Chilton","01021","Alabama"
"AL","Choctaw","01023","Alabama"
"AL","Clarke","01025","Alabama"
"AL","Clay","01027","Alabama"
"AL","Cleburne","01029","Alabama"
"AL","Coffee","01031","Alabama"
"AL","Colbert","01033","Alabama"
"AL","Conecuh","01035","Alabama"
"AL","Coosa","01037","Alabama"
"AL","Covington","01039","Alabama"
"AL","Crenshaw","01041","Alabama"
"AL","Cullman","01043","Alabama"
"AL","Dale","01045","Alabama"
"AL","Dallas","01047","Alabama"
"AL","DeKalb","01049","Alabama"
"AL","Elmore","01051","Alabama"
"AL","Escambia","01053","Alabama"
"AL","Etowah","01055","Alabama"
"AL","Fayette","01057","Alabama"
"AL","Franklin","01059","Alabama"
"AL","Geneva","01061","Alabama"
"AL","Greene","01063","Alabama"
"AL","Hale","01065","Alabama"
"AL","Henry","01067","Alabama"
"AL","Houston","01069","Alabama"
"AL","Jackson","01071","Alabama"
"AL","Jefferson","01073","Alabama"
"AL","Lamar","01075","Alabama"
"AL","Lauderdale","01077","Alabama"
"AL","Lawrence","01079","Alabama"
"AL","Lee","01081","Alabama"
"AL","Limestone","01083","Alabama"
"AL","Lowndes","01085","Alabama"
"AL","Macon","01087","Alabama"
"AL","Madison","01089","Alabama"
"AL","Marengo","01091","Alabama"
"AL","Marion","01093","Alabama"
"AL","Marshall","01095","Alabama"
"AL","Mobile","01097","Alabama"
"AL","Monroe","01099","Alabama"
"AL","Montgomery","01101","Alabama"
"AL","Morgan","01103","Alabama"
"AL","Perry","01105","Alabama"
"AL","Pickens","01107","Alabama"
"AL","Pike","01109","Alabama"
"AL","Randolph","01111","Alabama"
"AL","Russell","01113","Alabama"
"AL","Shelby","01117","Alabama"
"AL","St. Clair","01115","Alabama"
"AL","Sumter","01119","Alabama"
"AL","Talladega","01121","Alabama"
"AL","Tallapoosa","01123","Alabama"
"AL","Tuscaloosa","01125","Alabama"
"AL","Walker","01127","Alabama"
"AL","Washington","01129","Alabama"
"AL","Wilcox","01131","Alabama"
"AL","Winston","01133","Alabama"
"AK","Aleutians East Borough","02013","Alaska"
"AK","Aleutians West Census Area","02016","Alaska"
"AK","Anchorage Municipality","02020","Alaska"
"AK","Bethel Census Area","02050","Alaska"
"AK","Bristol Bay Borough","02060","Alaska"
"AK","Denali Borough","02068","Alaska"
"AK","Dillingham Census Area","02070","Alaska"
"AK","Fairbanks North Star Borough","02090","Alaska"
"AK","Haines Borough","02100","Alaska"
"AK","Hoonah-Angoon Census Area","02105","Alaska"
"AK","Juneau City and Borough","02110","Alaska"
"AK","Kenai Peninsula Borough","02122","Alaska"
"AK","Ketchikan Gateway Borough","02130","Alaska"
"AK","Kodiak Island Borough","02150","Alaska"
"AK","Kusilvak Census Area","02158","Alaska"
"AK","Lake and Peninsula Borough","02164","Alaska"
"AK","Matanuska-Susitna Borough","02170","Alaska"
"AK","Nome Census Area","02180","Alaska"
"AK","North Slope Borough","02185","Alaska"
"AK","Northwest Arctic Borough","02188","Alaska"
"AK","Petersburg Borough","02195","Alaska"
"AK","Prince of Wales-Hyder Census Area","02198","Alaska"
"AK","Sitka City and Borough","02220","Alaska"
"AK","Skagway Municipality","02230","Alaska"
"AK","Southeast Fairbanks Census Area","02240","Alaska"
"AK","Valdez-Cordova Census Area","02261","Alaska"
"AK","Wrangell City and Borough","02275","Alaska"
"AK","Yakutat City and Borough","02282","Alaska"
"AK","Yukon-Koyukuk Census Area","02290","Alaska"
"AZ","Apache","04001","Arizona"
"AZ","Cochise","04003","Arizona"
"AZ","Coconino","04005","Arizona"
"AZ","Gila","04007","Arizona"
"AZ","Graham","04009","Arizona"
"AZ","Greenlee","04011","Arizona"
"AZ","La Paz","04012","Arizona"
"AZ","Maricopa","04013","Arizona"
"AZ","Mohave","04015","Arizona"
"AZ","Navajo","04017","Arizona"
"AZ","Pima","04019","Arizona"
"AZ","Pinal","04021","Arizona"
"AZ","Santa Cruz","04023","Arizona"
"AZ","Yavapai","04025","Arizona"
"AZ","Yuma","04027","Arizona"
"AR","Arkansas","05001","Arkansas"
"AR","Ashley","05003","Arkansas"
"AR","Baxter","05005","Arkansas"
"AR","Benton","05007","Arkansas"
"AR","Boone","05009","Arkansas"
"AR","Bradley","05011","Arkansas"
"AR","Calhoun","05013","Arkansas"
"AR","Carroll","05015","Arkansas"
"AR","Chicot","05017","Arkansas"
"AR","Clark","05019","Arkansas"
"AR","Clay","05021","Arkansas"
"AR","Cleburne","05023","Arkansas"
"AR","Cleveland","05025","Arkansas"
"AR","Columbia","05027","Arkansas"
"AR","Conway","05029","Arkansas"
"AR","Craighead","05031","Arkansas"
"AR","Crawford","05033","Arkansas"
"AR","Crittenden","05035","Arkansas"
"AR","Cross","05037","Arkansas"
"AR","Dallas","05039","Arkansas"
"AR","Desha","05041","Arkansas"
"AR","Drew","05043","Arkansas"
"AR","Faulkner","05045","Arkansas"
"AR","Franklin","05047","Arkansas"
"AR","Fulton","05049","Arkansas"
"AR","Garland","05051","Arkansas"
"AR","Grant","05053","Arkansas"
"AR","Greene","05055","Arkansas"
"AR","Hempstead","05057","Arkansas"
"AR","Hot Spring","05059","Arkansas"
"AR","Howard","05061","Arkansas"
"AR","Independence","05063","Arkansas"
"AR","Izard","05065","Arkansas"
"AR","Jackson","05067","Arkansas"
"AR","Jefferson","05069","Arkansas"
"AR","Johnson","05071","Arkansas"
"AR","Lafayette","05073","Arkansas"
"AR","Lawrence","05075","Arkansas"
"AR","Lee","05077","Arkansas"
"AR","Lincoln","05079","Arkansas"
"AR","Little River","05081","Arkansas"
"AR","Logan","05083","Arkansas"
"AR","Lonoke","05085","Arkansas"
"AR","Madison","05087","Arkansas"
"AR","Marion","05089","Arkansas"
"AR","Miller","05091","Arkansas"
"AR","Mississippi","05093","Arkansas"
"AR","Monroe","05095","Arkansas"
"AR","Montgomery","05097","Arkansas"
"AR","Nevada","05099","Arkansas"
"AR","Newton","05101","Arkansas"
"AR","Ouachita","05103","Arkansas"
"AR","Perry","05105","Arkansas"
"AR","Phillips","05107","Arkansas"
"AR","Pike","05109","Arkansas"
"AR","Poinsett","05111","Arkansas"
"AR","Polk","05113","Arkansas"
"AR","Pope","05115","Arkansas"
"AR","Prairie","05117","Arkansas"
"AR","Pulaski","05119","Arkansas"
"AR","Randolph","05121","Arkansas"
"AR","Saline","05125","Arkansas"
"AR","Scott","05127","Arkansas"
"AR","Searcy","05129","Arkansas"
"AR","Sebastian","05131","Arkansas"
"AR","Sevier","05133","Arkansas"
"AR","Sharp","05135","Arkansas"
"AR","St. Francis","05123","Arkansas"
"AR","Stone","05137","Arkansas"
"AR","Union","05139","Arkansas"
"AR","Van Buren","05141","Arkansas"
"AR","Washington","05143","Arkansas"
"AR","White","05145","Arkansas"
"AR","Woodruff","05147","Arkansas"
"AR","Yell","05149","Arkansas"
"CA","Alameda","06001","California"
"CA","Alpine","06003","California"
"CA","Amador","06005","California"
"CA","Butte","06007","California"
"CA","Calaveras","06009","California"
"CA","Colusa","06011","California"
"CA","Contra Costa","06013","California"
"CA","Del Norte","06015","California"
"CA","El Dorado","06017","California"
"CA","Fresno","06019","California"
"CA","Glenn","06021","California"
"CA","Humboldt","06023","California"
"CA","Imperial","06025","California"
"CA","Inyo","06027","California"
"CA","Kern","06029","California"
"CA","Kings","06031","California"
"CA","Lake","06033","California"
"CA","Lassen","06035","California"
"CA","Los Angeles","06037","California"
"CA","Madera","06039","California"
"CA","Marin","06041","California"
"CA","Mariposa","06043","California"
"CA","Mendocino","06045","California"
"CA","Merced","06047","California"
"CA","Modoc","06049","California"
"CA","Mono","06051","California"
"CA","Monterey","06053","California"
"CA","Napa","06055","California"
"CA","Nevada","06057","California"
"CA","Orange","06059","California"
"CA","Placer","06061","California"
"CA","Plumas","06063","California"
"CA","Riverside","06065","California"
"CA","Sacramento","06067","California"
"CA","San Benito","06069","California"
"CA","San Bernardino","06071","California"
"CA","San Diego","06073","California"
"CA","San Francisco","06075","California"
"CA","San Joaquin","06077","California"
"CA","San Luis Obispo","06079","California"
"CA","San Mateo","06081","California"
"CA","Santa Barbara","06083","California"
"CA","Santa Clara","06085","California"
"CA","Santa Cruz","06087","California"
"CA","Shasta","06089","California"
"CA","Sierra","06091","California"
"CA","Siskiyou","06093","California"
"CA","Solano","06095","California"
"CA","Sonoma","06097","California"
"CA","Stanislaus","06099","California"
"CA","Sutter","06101","California"
"CA","Tehama","06103","California"
"CA","Trinity","06105","California"
"CA","Tulare","06107","California"
"CA","Tuolumne","06109","California"
"CA","Ventura","06111","California"
"CA","Yolo","06113","California"
"CA","Yuba","06115","California"
"CO","Adams","08001","Colorado"
"CO","Alamosa","08003","Colorado"
"CO","Arapahoe","08005","Colorado"
"CO","Archuleta","08007","Colorado"
"CO","Baca","08009","Colorado"
"CO","Bent","08011","Colorado"
"CO","Boulder","08013","Colorado"
"CO","Broomfield","08014","Colorado"
"CO","Chaffee","08015","Colorado"
"CO","Cheyenne","08017","Colorado"
"CO","Clear Creek","08019","Colorado"
"CO","Conejos","08021","Colorado"
"CO","Costilla","08023","Colorado"
"CO","Crowley","08025","Colorado"
"CO","Custer","08027","Colorado"
"CO","Delta","08029","Colorado"
"CO","Denver","08031","Colorado"
"CO","Dolores","08033","Colorado"
"CO","Douglas","08035","Colorado"
"CO","Eagle","08037","Colorado"
"CO","El Paso","08041","Colorado"
"CO","Elbert","08039","Colorado"
"CO","Fremont","08043","Colorado"
"CO","Garfield","08045","Colorado"
"CO","Gilpin","08047","Colorado"
"CO","Grand","08049","Colorado"
"CO","Gunnison","08051","Colorado"
"CO","Hinsdale","08053","Colorado"
"CO","Huerfano","08055","Colorado"
"CO","Jackson","08057","Colorado"
"CO","Jefferson","08059","Colorado"
"CO","Kiowa","08061","Colorado"
"CO","Kit Carson","08063","Colorado"
"CO","La Plata","08067","Colorado"
"CO","Lake","08065","Colorado"
"CO","Larimer","08069","Colorado"
"CO","Las Animas","08071","Colorado"
"CO","Lincoln","08073","Colorado"
"CO","Logan","08075","Colorado"
"CO","Mesa","08077","Colorado"
"CO","Mineral","08079","Colorado"
"CO","Moffat","08081","Colorado"
"CO","Montezuma","08083","Colorado"
"CO","Montrose","08085","Colorado"
"CO","Morgan","08087","Colorado"
"CO","Otero","08089","Colorado"
"CO","Ouray","08091","Colorado"
"CO","Park","08093","Colorado"
"CO","Phillips","08095","Colorado"
"CO","Pitkin","08097","Colorado"
"CO","Prowers","08099","Colorado"
"CO","Pueblo","08101","Colorado"
"CO","Rio Blanco","08103","Colorado"
"CO","Rio Grande","08105","Colorado"
"CO","Routt","08107","Colorado"
"CO","Saguache","08109","Colorado"
"CO","San Juan","08111","Colorado"
"CO","San Miguel","08113","Colorado"
"CO","Sedgwick","08115","Colorado"
"CO","Summit","08117","Colorado"
"CO","Teller","08119","Colorado"
"CO","Washington","08121","Colorado"
"CO","Weld","08123","Colorado"
"CO","Yuma","08125","Colorado"
"CT","Fairfield","09001","Connecticut"
"CT","Hartford","09003","Connecticut"
"CT","Litchfield","09005","Connecticut"
"CT","Middlesex","09007","Connecticut"
"CT","New Haven","09009","Connecticut"
"CT","New London","09011","Connecticut"
"CT","Tolland","09013","Connecticut"
"CT","Windham","09015","Connecticut"
"DE","Kent","10001","Delaware"
"DE","New Castle","10003","Delaware"
"DE","Sussex","10005","Delaware"
"DC","District of Columbia","11001","District of Columbia"
"FL","Alachua","12001","Florida"
"FL","Baker","12003","Florida"
"FL","Bay","12005","Florida"
"FL","Bradford","12007","Florida"
"FL","Brevard","12009","Florida"
"FL","Broward","12011","Florida"
"FL","Calhoun","12013","Florida"
"FL","Charlotte","12015","Florida"
"FL","Citrus","12017","Florida"
"FL","Clay","12019","Florida"
"FL","Collier","12021","Florida"
"FL","Columbia","12023","Florida"
"FL","DeSoto","12027","Florida"
"FL","Dixie","12029","Florida"
"FL","Duval","12031","Florida"
"FL","Escambia","12033","Florida"
"FL","Flagler","12035","Florida"
"FL","Franklin","12037","Florida"
"FL","Gadsden","12039","Florida"
"FL","Gilchrist","12041","Florida"
"FL","Glades","12043","Florida"
"FL","Gulf","12045","Florida"
"FL","Hamilton","12047","Florida"
"FL","Hardee","12049","Florida"
"FL","Hendry","12051","Florida"
"FL","Hernando","12053","Florida"
"FL","Highlands","12055","Florida"
"FL","Hillsborough","12057","Florida"
"FL","Holmes","12059","Florida"
"FL","Indian River","12061","Florida"
"FL","Jackson","12063","Florida"
"FL","Jefferson","12065","Florida"
"FL","Lafayette","12067","Florida"
"FL","Lake","12069","Florida"
"FL","Lee","12071","Florida"
"FL","Leon","12073","Florida"
"FL","Levy","12075","Florida"
"FL","Liberty","12077","Florida"
"FL","Madison","12079","Florida"
"FL","Manatee","12081","Florida"
"FL","Marion","12083","Florida"
"FL","Martin","12085","Florida"
"FL","Miami-Dade","12086","Florida"
"FL","Monroe","12087","Florida"
"FL","Nassau","12089","Florida"
"FL","Okaloosa","12091","Florida"
"FL","Okeechobee","12093","Florida"
"FL","Orange","12095","Florida"
"FL","Osceola","12097","Florida"
"FL","Palm Beach","12099","Florida"
"FL","Pasco","12101","Florida"
"FL","Pinellas","12103","Florida"
"FL","Polk","12105","Florida"
"FL","Putnam","12107","Florida"
"FL","Santa Rosa","12113","Florida"
"FL","Sarasota","12115","Florida"
"FL","Seminole","12117","Florida"
"FL","St. Johns","12109","Florida"
"FL","St. Lucie","12111","Florida"
"FL","Sumter","12119","Florida"
"FL","Suwannee","12121","Florida"
"FL","Taylor","12123","Florida"
"FL","Union","12125","Florida"
"FL","Volusia","12127","Florida"
"FL","Wakulla","12129","Florida"
"FL","Walton","12131","Florida"
"FL","Washington","12133","Florida"
"GA","Appling","13001","Georgia"
"GA","Atkinson","13003","Georgia"
"GA","Bacon","13005","Georgia"
